"","card1","card2","card3","card4","card5","winloss"
"592",4,7,5,1,0,"Win"
"593",10,5,0,0,0,"Loss"
"594",8,8,0,4,0,"Win"
"595",10,2,0,1,1,"Win"
"596",3,11,6,0,0,"Win"
"597",8,9,0,0,0,"Loss"
"598",6,10,0,6,0,"Loss"
"599",9,10,0,0,0,"Win"
"600",6,2,10,0,0,"Win"
"601",7,10,0,0,0,"Win"
"602",10,3,0,0,0,"Push"
"603",2,8,10,0,0,"Win"
"604",11,7,0,0,0,"Win"
"605",10,10,0,0,0,"Loss"
"606",3,10,0,0,0,"Loss"
"607",10,9,0,0,0,"Loss"
"608",3,10,0,0,0,"Win"
"609",10,6,0,5,0,"Win"
"610",10,4,0,6,0,"Win"
"611",11,10,0,0,0,"Win"
"612",3,6,8,0,0,"Push"
"613",2,5,8,0,0,"Win"
"614",9,9,0,0,0,"Loss"
"615",8,10,0,0,0,"Win"
"616",10,2,0,0,0,"Loss"
"617",9,5,0,7,0,"Win"
"618",10,4,0,0,0,"Loss"
"619",2,7,3,9,0,"Win"
"620",10,10,0,0,0,"Win"
"621",1,5,10,0,0,"Win"
"622",11,10,0,0,0,"Win"
"623",10,5,0,10,0,"Loss"
"624",3,10,0,0,0,"Win"
"625",2,3,8,3,10,"Loss"
"626",2,10,0,5,0,"Loss"
"627",10,4,0,10,0,"Loss"
"628",5,10,0,0,0,"Win"
"629",10,9,0,0,0,"Win"
"630",7,3,6,8,0,"Loss"
"631",10,10,0,0,0,"Win"
"632",10,7,0,0,0,"Loss"
"633",2,10,0,10,0,"Loss"
"634",10,3,0,0,0,"Loss"
"635",10,9,0,0,0,"Loss"
"636",11,10,0,0,0,"Win"
"637",10,9,0,0,0,"Win"
"638",10,10,0,0,0,"Win"
"639",6,10,0,10,0,"Loss"
"640",10,10,0,0,0,"Loss"
"641",5,10,0,0,0,"Win"
"642",6,10,0,0,0,"Loss"
"643",2,10,0,10,0,"Loss"
"644",5,10,0,0,0,"Win"
"645",6,1,6,10,0,"Loss"
"646",11,10,0,0,0,"Win"
"647",8,3,5,0,0,"Loss"
"648",11,10,0,0,0,"Win"
